timestamp,county,covid_hospitalizations,covid_hospitalizations_update_9_29_remove_minus
2020-07-13T100914,ALACHUA,106,NA
2020-07-13T100914,BAKER,30,NA
2020-07-13T100914,BAY,47,NA
2020-07-13T100914,BREVARD,125,NA
2020-07-13T100914,BROWARD,"1,027",NA
2020-07-13T100914,CALHOUN,1,NA
2020-07-13T100914,CHARLOTTE,39,NA
2020-07-13T100914,CITRUS,19,NA
2020-07-13T100914,CLAY,43,NA
2020-07-13T100914,COLLIER,186,NA
2020-07-13T100914,COLUMBIA,20,NA
2020-07-13T100914,DESOTO,2,NA
2020-07-13T100914,DUVAL,521,NA
2020-07-13T100914,ESCAMBIA,156,NA
2020-07-13T100914,FLAGLER,20,NA
2020-07-13T100914,FRANKLIN,0,NA
2020-07-13T100914,GADSDEN,0,NA
2020-07-13T100914,GULF,1,NA
2020-07-13T100914,HARDEE,0,NA
2020-07-13T100914,HENDRY,5,NA
2020-07-13T100914,HERNANDO,54,NA
2020-07-13T100914,HIGHLANDS,45,NA
2020-07-13T100914,HILLSBOROUGH,278,NA
2020-07-13T100914,HOLMES,0,NA
2020-07-13T100914,INDIAN RIVER,34,NA
2020-07-13T100914,JACKSON,32,NA
2020-07-13T100914,LAKE,120,NA
2020-07-13T100914,LEE,263,NA
2020-07-13T100914,LEON,71,NA
2020-07-13T100914,MADISON,0,NA
2020-07-13T100914,MANATEE,87,NA
2020-07-13T100914,MARION,92,NA
2020-07-13T100914,MARTIN,48,NA
2020-07-13T100914,MIAMI-DADE,"1,786",NA
2020-07-13T100914,MONROE,11,NA
2020-07-13T100914,NASSAU,6,NA
2020-07-13T100914,OKALOOSA,40,NA
2020-07-13T100914,OKEECHOBEE,14,NA
2020-07-13T100914,ORANGE,546,NA
2020-07-13T100914,OSCEOLA,207,NA
2020-07-13T100914,PALM BEACH,642,NA
2020-07-13T100914,PASCO,97,NA
2020-07-13T100914,PINELLAS,223,NA
2020-07-13T100914,POLK,143,NA
2020-07-13T100914,PUTNAM,21,NA
2020-07-13T100914,SANTA ROSA,20,NA
2020-07-13T100914,SARASOTA,129,NA
2020-07-13T100914,SEMINOLE,164,NA
2020-07-13T100914,ST. JOHNS,36,NA
2020-07-13T100914,ST. LUCIE,130,NA
2020-07-13T100914,SUMTER,20,NA
2020-07-13T100914,SUWANNEE,0,NA
2020-07-13T100914,TAYLOR,0,NA
2020-07-13T100914,UNION,0,NA
2020-07-13T100914,VOLUSIA,137,NA
2020-07-13T100914,WALTON,5,NA
2020-07-13T100914,WASHINGTON,4,NA
2020-07-13T100914,All,"7,853",NA
2020-07-13T120201,ALACHUA,106,NA
2020-07-13T120201,BAKER,30,NA
2020-07-13T120201,BAY,58,NA
