timestamp,county,file_number,measure_names,provider_name,measure_values
2020-07-14T123224,ALACHUA,100113,Adult ICU Census,UF HEALTH SHANDS HOSPITAL,236
2020-07-14T123224,ALACHUA,100113,Available Adult ICU,UF HEALTH SHANDS HOSPITAL,24
2020-07-14T123224,ALACHUA,100113,Available Adult ICU%,UF HEALTH SHANDS HOSPITAL,0.092307692
2020-07-14T123224,ALACHUA,100113,Total AdultICU Capacity,UF HEALTH SHANDS HOSPITAL,260
2020-07-14T123224,ALACHUA,100113,Pediatric ICU Census,UF HEALTH SHANDS HOSPITAL,24
2020-07-14T123224,ALACHUA,100113,Available Pediatric ICU,UF HEALTH SHANDS HOSPITAL,23
2020-07-14T123224,ALACHUA,100113,Available Pediatric ICU%,UF HEALTH SHANDS HOSPITAL,0.489361702
2020-07-14T123224,ALACHUA,100113,Total PediatricICU Capacity,UF HEALTH SHANDS HOSPITAL,47
2020-07-14T123224,ALACHUA,100204,Adult ICU Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,46
2020-07-14T123224,ALACHUA,100204,Available Adult ICU,NORTH FLORIDA REGIONAL MEDICAL CENTER,2
2020-07-14T123224,ALACHUA,100204,Available Adult ICU%,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.041666667
2020-07-14T123224,ALACHUA,100204,Total AdultICU Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,48
2020-07-14T123224,ALACHUA,100204,Pediatric ICU Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,0
2020-07-14T123224,ALACHUA,100204,Available Pediatric ICU,NORTH FLORIDA REGIONAL MEDICAL CENTER,0
2020-07-14T123224,ALACHUA,100204,Available Pediatric ICU%,NORTH FLORIDA REGIONAL MEDICAL CENTER,NA
2020-07-14T123224,ALACHUA,100204,Total PediatricICU Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0
2020-07-14T123224,ALACHUA,110025,Adult ICU Census,UF HEALTH REHAB HOSPITAL,0
2020-07-14T123224,ALACHUA,110025,Available Adult ICU,UF HEALTH REHAB HOSPITAL,0
2020-07-14T123224,ALACHUA,110025,Available Adult ICU%,UF HEALTH REHAB HOSPITAL,NA
2020-07-14T123224,ALACHUA,110025,Total AdultICU Capacity,UF HEALTH REHAB HOSPITAL,0
2020-07-14T123224,ALACHUA,110025,Pediatric ICU Census,UF HEALTH REHAB HOSPITAL,0
2020-07-14T123224,ALACHUA,110025,Available Pediatric ICU,UF HEALTH REHAB HOSPITAL,0
2020-07-14T123224,ALACHUA,110025,Available Pediatric ICU%,UF HEALTH REHAB HOSPITAL,NA
2020-07-14T123224,ALACHUA,110025,Total PediatricICU Capacity,UF HEALTH REHAB HOSPITAL,0
2020-07-14T123224,ALACHUA,120011,Adult ICU Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0
2020-07-14T123224,ALACHUA,120011,Available Adult ICU,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0
