timestamp,objectid,zip,objectid_1,depcode,countyname,field_match,po_name,places,c_places,cases_1,label_y,shape_area,shape_length,objectid_12,zipx
2020-06-09T190109,1,00041,44,6,Broward,Broward-00041,NONE,Area is in the South Florida Water Conservation Area 3A,,0,0,0.186601374149632,1.92229668636402,NA,NA
2020-06-09T190109,2,00042,49,5,Brevard,Brevard-00042,NONE,Area is part of a federally protected nature area,,0,0,0.0411793250675601,1.65454026415273,NA,NA
2020-06-09T190109,3,00045,55,42,Marion,Marion-00045,NONE,Area is part of the Wakulla National Forest ,,0,0,0.0252023544655913,0.714285319543539,NA,NA
2020-06-09T190109,4,00053,58,50,Palm Beach,Palm Beach-00053,NONE,Area is part of the Loxahatchee National Wildlife Refuge,,0,0,0.165590057094505,2.55079104321085,NA,NA
2020-06-09T190109,5,00087,60,31,Indian River,Indian River-00067,NONE,Area is part of the Stick Marsh-- St. Johns Water Management Area,,0,0,0.0231651908516142,0.822791100135435,NA,NA
2020-06-09T190109,6,00097,64,44,Monroe,Monroe-00097,NONE,Area is part of the Everglades National Park,,0,0,0.124287367840452,6.43116442585641,NA,NA
2020-06-09T190109,7,00098,66,44,Monroe,Monroe-00098,NONE,Area is part of the Everglades National Park,,0,0,0.0814496727870164,9.0857515641848,NA,NA
2020-06-09T190109,8,32003,67,10,Clay,Clay-32003,Fleming Island,"Orange Park, Fleming Island, Lakeside","Fleming Island, Green Cove Springs, Middleburg, Orange Park",40,40,0.00557993903771603,0.312121019549633,171,Clay-32003
2020-06-09T190109,9,32008,71,15,Dixie,Dixie-32008,Branford,Branford,,0,0,0.00183233296615981,0.357111733369989,295,Dixie-32008
2020-06-09T190109,10,32008,72,21,Gilchrist,Gilchrist-32008,Branford,"Hollingsworth Bluff, Sandy Point",,0,0,0.00840385376727681,0.676627691713862,375,Gilchrist-32008
2020-06-09T190109,11,32008,73,34,Lafayette,Lafayette-32008,Branford,"Brandford, Grady, Midway",,0,0,0.0165090437517392,0.891320972075004,506,Lafayette-32008
2020-06-09T190109,12,32008,74,61,Suwannee,Suwannee-32008,Branford,"Branford, Grady",Branford,<5,-2,0.00982965856042028,0.777787902539025,1048,Suwannee-32008
2020-06-09T190109,13,32009,78,45,Nassau,Nassau-32009,Bryceville,"Jacksonville, Bryceville, Mattox",Bryceville,<5,-2,0.0218172896541091,0.821591215708184,683,Nassau-32009
2020-06-09T190109,14,32011,80,45,Nassau,Nassau-32011,Callahan,"Callahan, Hilliard, Jacksonville, Nassau Village-Ratliff",Callahan,17,17,0.0386437494603342,1.46705327220997,684,Nassau-32011
2020-06-09T190109,15,32013,81,34,Lafayette,Lafayette-32013,Day,"Day, Townsend, Dell, Dowling Park",,0,0,0.00875829309779874,0.455994612318474,507,Lafayette-32013
2020-06-09T190109,16,32024,85,12,Columbia,Columbia-32024,Lake City,"Lake City, Bass, Columbia",Lake City,34,34,0.0295292247153611,1.17943513788214,202,Columbia-32024
2020-06-09T190109,17,32024,86,61,Suwannee,Suwannee-32024,Lake City,"Lake City, Wellborn",Lake City,<5,-2,0.00609846901397759,0.652265018840031,1049,Suwannee-32024
2020-06-09T190109,18,32025,89,12,Columbia,Columbia-32025,Lake City,"Lake City, Watertown",Lake City,77,77,0.0267394114423496,1.17186134538851,203,Columbia-32025
2020-06-09T190109,19,32033,92,55,St. Johns,St. Johns-32033,Elkton,Elkton,Elkton,<5,-2,0.0187234956811153,0.628467929585538,1008,St. Johns-32033
2020-06-09T190109,20,32034,95,45,Nassau,Nassau-32034,Fernandina Beach,"Fernandina Beach, Jacksonville, Yulee",Fernandina Beach,32,32,0.020139891490544,1.06224040986102,685,Nassau-32034
2020-06-09T190109,21,32038,97,12,Columbia,Columbia-32038,Fort White,Fort White,Fort White,9,9,0.0252173128599225,0.954634626442275,204,Columbia-32038
2020-06-09T190109,22,32040,101,2,Baker,Baker-32040,Glen Saint Mary,Glen St. Mary,Glen Saint Mary,<5,-2,0.0333791808234309,1.65619575129217,23,Baker-32040
2020-06-09T190109,23,32043,106,10,Clay,Clay-32043,Green Cove Springs,"Green Cove Springs, Penney Farms, Asbury Lake, Fleming Island, Middleburg",Green Cove Springs,106,106,0.050857178979868,1.13471481910254,172,Clay-32043
2020-06-09T190109,24,32043,107,54,Putnam,Putnam-32043,Green Cove Springs,West Tocoi,,0,0,0.0015115207368126,0.514374829498623,940,Putnam-32043
2020-06-09T190109,25,32044,109,1,Alachua,Alachua-32044,Hampton,Louise,,0,0,3.1139214547693e-4,0.197708738500747,1,Alachua-32044
2020-06-09T190109,26,32044,110,4,Bradford,Bradford-32044,Hampton,Hampton,Hampton,<5,-2,0.00560723660305484,0.567488227791873,41,Bradford-32044
2020-06-09T190109,27,32046,112,45,Nassau,Nassau-32046,Hilliard,Hilliard,Hilliard,13,13,0.0495374099873516,1.68648492194021,686,Nassau-32046
2020-06-09T190109,28,32052,114,24,Hamilton,Hamilton-32052,Jasper,"Jasper, Marion, Hillcoast, Adams",Jasper,223,223,0.0858775323315513,2.16867630977991,387,Hamilton-32052
2020-06-09T190109,29,32053,118,24,Hamilton,Hamilton-32053,Jennings,Jennings,Jennings,33,33,0.0268089503872488,0.926754388053281,388,Hamilton-32053
2020-06-09T190109,30,32054,121,4,Bradford,Bradford-32054,Lake Butler,Worthington Springs,Lake Butler,<5,-2,0.00266361705689633,0.476128244953605,42,Bradford-32054
2020-06-09T190109,31,32054,123,63,Union,Union-32054,Lake Butler,"Lake Butler, Worthington Springs",Lake Butler,13,13,0.05009747814006,1.12036461302547,1062,Union-32054
