timestamp,id,week_end_date,county,state,w_deaths,w_ili,w_covidl,w_neg_tests,w_pos_tests,w_t_total,w_perc_pos,w_positivity,w_events,object_id,week_start_date
2020-06-05T070051,Alachua-03/01/2020,2020-03-07,Alachua,Florida,0,0,0,0,0,0,0,0,6,11552,2020-03-01
2020-06-05T070051,Baker-03/01/2020,2020-03-07,Baker,Florida,0,0,0,0,0,0,0,0,0,11565,2020-03-01
2020-06-05T070051,Bay-03/01/2020,2020-03-07,Bay,Florida,0,0,0,0,0,0,0,0,1,11578,2020-03-01
2020-06-05T070051,Brevard-03/01/2020,2020-03-07,Brevard,Florida,0,0,0,0,0,0,0,0,5,11591,2020-03-01
2020-06-05T070051,Broward-03/01/2020,2020-03-07,Broward,Florida,0,0,0,16,2,18,0.111111111111111,11.1111111111111,70,11604,2020-03-01
2020-06-05T070051,Calhoun-03/01/2020,2020-03-07,Calhoun,Florida,0,0,0,0,0,0,0,0,0,11617,2020-03-01
2020-06-05T070051,Charlotte-03/01/2020,2020-03-07,Charlotte,Florida,0,0,0,0,0,0,0,0,2,11630,2020-03-01
2020-06-05T070051,Citrus-03/01/2020,2020-03-07,Citrus,Florida,0,0,0,1,0,1,0,0,2,11643,2020-03-01
2020-06-05T070051,Clay-03/01/2020,2020-03-07,Clay,Florida,0,0,0,5,0,5,0,0,7,11656,2020-03-01
2020-06-05T070051,Collier-03/01/2020,2020-03-07,Collier,Florida,0,0,0,2,0,2,0,0,7,11669,2020-03-01
2020-06-05T070051,Columbia-03/01/2020,2020-03-07,Columbia,Florida,0,0,0,0,0,0,0,0,0,11682,2020-03-01
2020-06-05T070051,Dade-03/01/2020,2020-03-07,Dade,Florida,0,0,0,8,1,9,0.111111111111111,11.1111111111111,99,11695,2020-03-01
2020-06-05T070051,Desoto-03/01/2020,2020-03-07,Desoto,Florida,0,0,0,0,0,0,0,0,0,11708,2020-03-01
2020-06-05T070051,Dixie-03/01/2020,2020-03-07,Dixie,Florida,0,0,0,0,0,0,0,0,0,11721,2020-03-01
2020-06-05T070051,Duval-03/01/2020,2020-03-07,Duval,Florida,0,0,0,1,0,1,0,0,26,11734,2020-03-01
2020-06-05T070051,Escambia-03/01/2020,2020-03-07,Escambia,Florida,0,0,0,0,0,0,0,0,4,11747,2020-03-01
2020-06-05T070051,Flagler-03/01/2020,2020-03-07,Flagler,Florida,0,0,0,0,0,0,0,0,4,11760,2020-03-01
2020-06-05T070051,Gadsden-03/01/2020,2020-03-07,Gadsden,Florida,0,0,0,0,1,1,1,0,0,11773,2020-03-01
2020-06-05T070051,Gilchrist-03/01/2020,2020-03-07,Gilchrist,Florida,0,0,0,0,0,0,0,0,0,11786,2020-03-01
2020-06-05T070051,Glades-03/01/2020,2020-03-07,Glades,Florida,0,0,0,0,0,0,0,0,0,11799,2020-03-01
2020-06-05T070051,Hamilton-03/01/2020,2020-03-07,Hamilton,Florida,0,0,0,0,0,0,0,0,0,11812,2020-03-01
2020-06-05T070051,Hardee-03/01/2020,2020-03-07,Hardee,Florida,0,0,0,1,0,1,0,9.09090909090909,0,11825,2020-03-01
2020-06-05T070051,Hendry-03/01/2020,2020-03-07,Hendry,Florida,0,0,0,0,0,0,0,0,1,11838,2020-03-01
2020-06-05T070051,Hernando-03/01/2020,2020-03-07,Hernando,Florida,0,0,0,0,0,0,0,0,0,11851,2020-03-01
2020-06-05T070051,Highlands-03/01/2020,2020-03-07,Highlands,Florida,0,0,0,0,0,0,0,0,0,11864,2020-03-01
2020-06-05T070051,Hillsborough-03/01/2020,2020-03-07,Hillsborough,Florida,0,0,0,10,1,11,0.0909090909090909,0,11,11877,2020-03-01
2020-06-05T070051,Holmes-03/01/2020,2020-03-07,Holmes,Florida,0,0,0,0,0,0,0,0,0,11890,2020-03-01
2020-06-05T070051,Indian River-03/01/2020,2020-03-07,Indian River,Florida,0,0,0,3,0,3,0,0,1,11903,2020-03-01
2020-06-05T070051,Jackson-03/01/2020,2020-03-07,Jackson,Florida,0,0,0,1,0,1,0,40,1,11916,2020-03-01
2020-06-05T070051,Lafayette-03/01/2020,2020-03-07,Lafayette,Florida,0,0,0,0,0,0,0,0,0,11929,2020-03-01
2020-06-05T070051,Lake-03/01/2020,2020-03-07,Lake,Florida,0,0,0,0,0,0,0,0,3,11942,2020-03-01
2020-06-05T070051,Lee-03/01/2020,2020-03-07,Lee,Florida,0,0,0,3,2,5,0.4,33.3333333333333,19,11955,2020-03-01
2020-06-05T070051,Leon-03/01/2020,2020-03-07,Leon,Florida,0,0,0,2,1,3,0.333333333333333,20,2,11968,2020-03-01
2020-06-05T070051,Liberty-03/01/2020,2020-03-07,Liberty,Florida,0,0,0,0,0,0,0,0,1,11981,2020-03-01
2020-06-05T070051,Madison-03/01/2020,2020-03-07,Madison,Florida,0,0,0,0,0,0,0,0,0,11994,2020-03-01
2020-06-05T070051,Manatee-03/01/2020,2020-03-07,Manatee,Florida,0,0,0,4,1,5,0.2,0,8,12007,2020-03-01
2020-06-05T070051,Marion-03/01/2020,2020-03-07,Marion,Florida,0,0,0,5,0,5,0,0,1,12020,2020-03-01
2020-06-05T070051,Martin-03/01/2020,2020-03-07,Martin,Florida,0,0,0,0,0,0,0,0,5,12033,2020-03-01
2020-06-05T070051,Nassau-03/01/2020,2020-03-07,Nassau,Florida,0,0,0,0,0,0,0,0,3,12046,2020-03-01
2020-06-05T070051,Okaloosa-03/01/2020,2020-03-07,Okaloosa,Florida,0,0,0,2,1,3,0.333333333333333,0,8,12059,2020-03-01
2020-06-05T070051,Okeechobee-03/01/2020,2020-03-07,Okeechobee,Florida,0,0,0,1,0,1,0,0,0,12072,2020-03-01
2020-06-05T070051,Orange-03/01/2020,2020-03-07,Orange,Florida,0,0,0,4,0,4,0,0,14,12085,2020-03-01
2020-06-05T070051,Osceola-03/01/2020,2020-03-07,Osceola,Florida,0,0,0,1,0,1,0,20,10,12098,2020-03-01
2020-06-05T070051,Palm Beach-03/01/2020,2020-03-07,Palm Beach,Florida,2,0,0,4,1,5,0.2,0,43,12111,2020-03-01
2020-06-05T070051,Pasco-03/01/2020,2020-03-07,Pasco,Florida,0,0,0,1,0,1,0,0,3,12124,2020-03-01
2020-06-05T070051,Pinellas-03/01/2020,2020-03-07,Pinellas,Florida,0,0,0,4,0,4,0,0,22,12137,2020-03-01
2020-06-05T070051,Polk-03/01/2020,2020-03-07,Polk,Florida,0,0,0,2,0,2,0,0,5,12150,2020-03-01
2020-06-05T070051,Putnam-03/01/2020,2020-03-07,Putnam,Florida,0,0,0,1,0,1,0,50,2,12163,2020-03-01
2020-06-05T070051,Santa Rosa-03/01/2020,2020-03-07,Santa Rosa,Florida,0,0,0,1,1,2,0.5,0,3,12176,2020-03-01
2020-06-05T070051,Sarasota-03/01/2020,2020-03-07,Sarasota,Florida,0,0,0,34,0,34,0,0,6,12189,2020-03-01
2020-06-05T070051,Seminole-03/01/2020,2020-03-07,Seminole,Florida,0,0,0,1,0,1,0,0,7,12202,2020-03-01
2020-06-05T070051,St. Johns-03/01/2020,2020-03-07,St. Johns,Florida,0,0,0,1,0,1,0,0,7,12215,2020-03-01
2020-06-05T070051,St. Lucie-03/01/2020,2020-03-07,St. Lucie,Florida,0,0,0,1,0,1,0,0,4,12228,2020-03-01
2020-06-05T070051,Sumter-03/01/2020,2020-03-07,Sumter,Florida,0,0,0,0,0,0,0,0,0,12241,2020-03-01
2020-06-05T070051,Suwannee-03/01/2020,2020-03-07,Suwannee,Florida,0,0,0,0,0,0,0,0,0,12254,2020-03-01
2020-06-05T070051,Taylor-03/01/2020,2020-03-07,Taylor,Florida,0,0,0,0,0,0,0,0,0,12267,2020-03-01
2020-06-05T070051,Unknown-03/01/2020,2020-03-07,Unknown,Florida,0,0,0,0,0,0,0,0,0,12280,2020-03-01
2020-06-05T070051,Volusia-03/01/2020,2020-03-07,Volusia,Florida,0,0,0,1,0,1,0,3.84615384615385,10,12293,2020-03-01
2020-06-05T070051,Walton-03/01/2020,2020-03-07,Walton,Florida,0,0,0,0,0,0,0,0,3,12306,2020-03-01
2020-06-05T070051,Washington-03/01/2020,2020-03-07,Washington,Florida,0,0,0,0,0,0,0,0,2,12319,2020-03-01
2020-06-05T070051,Alachua-03/08/2020,2020-03-14,Alachua,Florida,0,0,0,25,1,26,0.0384615384615385,0,19,11553,2020-03-08
2020-06-05T070051,Baker-03/08/2020,2020-03-14,Baker,Florida,0,0,0,0,0,0,0,0,0,11566,2020-03-08
2020-06-05T070051,Bay-03/08/2020,2020-03-14,Bay,Florida,0,0,0,4,0,4,0,0,5,11579,2020-03-08
2020-06-05T070051,Brevard-03/08/2020,2020-03-14,Brevard,Florida,0,0,0,5,0,5,0,10.6741573033708,12,11592,2020-03-08
2020-06-05T070051,Broward-03/08/2020,2020-03-14,Broward,Florida,1,0,0,159,19,178,0.106741573033708,11.1111111111111,265,11605,2020-03-08
2020-06-05T070051,Calhoun-03/08/2020,2020-03-14,Calhoun,Florida,0,0,0,0,0,0,0,0,0,11618,2020-03-08
2020-06-05T070051,Charlotte-03/08/2020,2020-03-14,Charlotte,Florida,0,0,0,8,1,9,0.111111111111111,37.5,6,11631,2020-03-08
2020-06-05T070051,Citrus-03/08/2020,2020-03-14,Citrus,Florida,0,0,0,0,0,0,0,0,5,11644,2020-03-08
2020-06-05T070051,Clay-03/08/2020,2020-03-14,Clay,Florida,0,0,0,5,3,8,0.375,13.6363636363636,18,11657,2020-03-08
2020-06-05T070051,Collier-03/08/2020,2020-03-14,Collier,Florida,0,0,0,19,3,22,0.136363636363636,0,34,11670,2020-03-08
2020-06-05T070051,Columbia-03/08/2020,2020-03-14,Columbia,Florida,0,0,0,6,0,6,0,11.0169491525424,2,11683,2020-03-08
2020-06-05T070051,Dade-03/08/2020,2020-03-14,Dade,Florida,0,0,0,105,13,118,0.110169491525424,0,472,11696,2020-03-08
2020-06-05T070051,Desoto-03/08/2020,2020-03-14,Desoto,Florida,0,0,0,4,0,4,0,0,2,11709,2020-03-08
2020-06-05T070051,Dixie-03/08/2020,2020-03-14,Dixie,Florida,0,0,0,2,0,2,0,4.16666666666667,0,11722,2020-03-08
2020-06-05T070051,Duval-03/08/2020,2020-03-14,Duval,Florida,0,0,0,23,1,24,0.0416666666666667,0,65,11735,2020-03-08
2020-06-05T070051,Escambia-03/08/2020,2020-03-14,Escambia,Florida,0,0,0,12,0,12,0,0,14,11748,2020-03-08
2020-06-05T070051,Flagler-03/08/2020,2020-03-14,Flagler,Florida,0,0,0,5,0,5,0,0,12,11761,2020-03-08
2020-06-05T070051,Gadsden-03/08/2020,2020-03-14,Gadsden,Florida,0,0,0,3,0,3,0,0,0,11774,2020-03-08
2020-06-05T070051,Gilchrist-03/08/2020,2020-03-14,Gilchrist,Florida,0,0,0,0,0,0,0,0,0,11787,2020-03-08
2020-06-05T070051,Glades-03/08/2020,2020-03-14,Glades,Florida,0,0,0,0,0,0,0,0,0,11800,2020-03-08
2020-06-05T070051,Hamilton-03/08/2020,2020-03-14,Hamilton,Florida,0,0,0,0,0,0,0,0,0,11813,2020-03-08
2020-06-05T070051,Hardee-03/08/2020,2020-03-14,Hardee,Florida,0,0,0,2,0,2,0,0,0,11826,2020-03-08
2020-06-05T070051,Hendry-03/08/2020,2020-03-14,Hendry,Florida,1,0,0,1,0,1,0,8.69565217391304,0,11839,2020-03-08
2020-06-05T070051,Hernando-03/08/2020,2020-03-14,Hernando,Florida,0,0,0,0,0,0,0,0,11,11852,2020-03-08
2020-06-05T070051,Highlands-03/08/2020,2020-03-14,Highlands,Florida,0,0,0,0,0,0,0,0,4,11865,2020-03-08
2020-06-05T070051,Hillsborough-03/08/2020,2020-03-14,Hillsborough,Florida,0,0,0,42,4,46,0.0869565217391304,0,91,11878,2020-03-08
2020-06-05T070051,Holmes-03/08/2020,2020-03-14,Holmes,Florida,0,0,0,0,0,0,0,0,0,11891,2020-03-08
2020-06-05T070051,Indian River-03/08/2020,2020-03-14,Indian River,Florida,0,0,0,6,0,6,0,0,14,11904,2020-03-08
2020-06-05T070051,Jackson-03/08/2020,2020-03-14,Jackson,Florida,0,0,0,1,0,1,0,0,0,11917,2020-03-08
2020-06-05T070051,Lafayette-03/08/2020,2020-03-14,Lafayette,Florida,0,0,0,1,0,1,0,7.69230769230769,0,11930,2020-03-08
2020-06-05T070051,Lake-03/08/2020,2020-03-14,Lake,Florida,0,0,0,12,1,13,0.0769230769230769,5.40540540540541,12,11943,2020-03-08
2020-06-05T070051,Lee-03/08/2020,2020-03-14,Lee,Florida,0,0,0,35,2,37,0.0540540540540541,0,57,11956,2020-03-08
2020-06-05T070051,Leon-03/08/2020,2020-03-14,Leon,Florida,0,0,0,13,0,13,0,0,12,11969,2020-03-08
2020-06-05T070051,Liberty-03/08/2020,2020-03-14,Liberty,Florida,0,0,0,0,0,0,0,0,0,11982,2020-03-08
2020-06-05T070051,Madison-03/08/2020,2020-03-14,Madison,Florida,0,0,0,0,0,0,0,0,0,11995,2020-03-08
2020-06-05T070051,Manatee-03/08/2020,2020-03-14,Manatee,Florida,0,0,0,14,3,17,0.176470588235294,0,17,12008,2020-03-08
2020-06-05T070051,Marion-03/08/2020,2020-03-14,Marion,Florida,0,0,0,1,0,1,0,0,6,12021,2020-03-08
2020-06-05T070051,Martin-03/08/2020,2020-03-14,Martin,Florida,0,0,0,1,0,1,0,0,17,12034,2020-03-08
2020-06-05T070051,Nassau-03/08/2020,2020-03-14,Nassau,Florida,0,0,0,4,1,5,0.2,5.55555555555556,4,12047,2020-03-08
2020-06-05T070051,Okaloosa-03/08/2020,2020-03-14,Okaloosa,Florida,0,0,0,17,1,18,0.0555555555555556,0,11,12060,2020-03-08
2020-06-05T070051,Okeechobee-03/08/2020,2020-03-14,Okeechobee,Florida,0,0,0,2,0,2,0,2.25563909774436,0,12073,2020-03-08
2020-06-05T070051,Orange-03/08/2020,2020-03-14,Orange,Florida,0,0,0,130,3,133,0.0225563909774436,11.1111111111111,85,12086,2020-03-08
2020-06-05T070051,Osceola-03/08/2020,2020-03-14,Osceola,Florida,0,0,0,24,3,27,0.111111111111111,18.1818181818182,38,12099,2020-03-08
2020-06-05T070051,Palm Beach-03/08/2020,2020-03-14,Palm Beach,Florida,0,0,0,18,4,22,0.181818181818182,11.1111111111111,176,12112,2020-03-08
2020-06-05T070051,Pasco-03/08/2020,2020-03-14,Pasco,Florida,0,0,0,16,2,18,0.111111111111111,5.71428571428571,18,12125,2020-03-08
2020-06-05T070051,Pinellas-03/08/2020,2020-03-14,Pinellas,Florida,0,0,0,34,2,36,0.0555555555555556,0,58,12138,2020-03-08
2020-06-05T070051,Polk-03/08/2020,2020-03-14,Polk,Florida,0,0,0,18,0,18,0,0,26,12151,2020-03-08
2020-06-05T070051,Putnam-03/08/2020,2020-03-14,Putnam,Florida,0,0,0,7,0,7,0,0,2,12164,2020-03-08
2020-06-05T070051,Santa Rosa-03/08/2020,2020-03-14,Santa Rosa,Florida,0,0,0,8,0,8,0,0,5,12177,2020-03-08
2020-06-05T070051,Sarasota-03/08/2020,2020-03-14,Sarasota,Florida,0,0,0,90,1,91,0.010989010989011,1.0989010989011,26,12190,2020-03-08
2020-06-05T070051,Seminole-03/08/2020,2020-03-14,Seminole,Florida,0,0,0,33,4,37,0.108108108108108,10.8108108108108,30,12203,2020-03-08
2020-06-05T070051,St. Johns-03/08/2020,2020-03-14,St. Johns,Florida,0,0,0,20,1,21,0.0476190476190476,4.76190476190476,25,12216,2020-03-08
2020-06-05T070051,St. Lucie-03/08/2020,2020-03-14,St. Lucie,Florida,1,0,0,6,0,6,0,0,18,12229,2020-03-08
2020-06-05T070051,Sumter-03/08/2020,2020-03-14,Sumter,Florida,0,0,0,5,0,5,0,0,12,12242,2020-03-08
2020-06-05T070051,Suwannee-03/08/2020,2020-03-14,Suwannee,Florida,0,0,0,2,0,2,0,0,0,12255,2020-03-08
2020-06-05T070051,Taylor-03/08/2020,2020-03-14,Taylor,Florida,0,0,0,0,0,0,0,0,0,12268,2020-03-08
2020-06-05T070051,Unknown-03/08/2020,2020-03-14,Unknown,Florida,0,0,0,1,0,1,0,26.0869565217391,0,12281,2020-03-08
2020-06-05T070051,Volusia-03/08/2020,2020-03-14,Volusia,Florida,0,0,0,17,6,23,0.260869565217391,6.05326876513317,26,12294,2020-03-08
2020-06-05T070051,Walton-03/08/2020,2020-03-14,Walton,Florida,0,0,0,0,0,0,0,0,2,12307,2020-03-08
2020-06-05T070051,Washington-03/08/2020,2020-03-14,Washington,Florida,0,0,0,0,0,0,0,0,0,12320,2020-03-08
2020-06-05T070051,Alachua-03/15/2020,2020-03-21,Alachua,Florida,0,0,0,383,25,408,0.0612745098039216,10,35,11554,2020-03-15
2020-06-05T070051,Baker-03/15/2020,2020-03-21,Baker,Florida,0,0,0,9,1,10,0.1,0,6,11567,2020-03-15
2020-06-05T070051,Bay-03/15/2020,2020-03-21,Bay,Florida,0,0,0,14,0,14,0,0,11,11580,2020-03-15
2020-06-05T070051,Brevard-03/15/2020,2020-03-21,Brevard,Florida,0,0,0,60,5,65,0.0769230769230769,9.82783357245337,49,11593,2020-03-15
2020-06-05T070051,Broward-03/15/2020,2020-03-21,Broward,Florida,0,0,0,1255,138,1393,0.0990667623833453,0,859,11606,2020-03-15
2020-06-05T070051,Calhoun-03/15/2020,2020-03-21,Calhoun,Florida,0,0,0,3,0,3,0,2.7027027027027,0,11619,2020-03-15
2020-06-05T070051,Charlotte-03/15/2020,2020-03-21,Charlotte,Florida,0,0,0,36,1,37,0.027027027027027,19.047619047619,13,11632,2020-03-15
2020-06-05T070051,Citrus-03/15/2020,2020-03-21,Citrus,Florida,0,0,0,35,8,43,0.186046511627907,5.55555555555556,25,11645,2020-03-15
2020-06-05T070051,Clay-03/15/2020,2020-03-21,Clay,Florida,0,0,0,51,3,54,0.0555555555555556,12.0879120879121,32,11658,2020-03-15
2020-06-05T070051,Collier-03/15/2020,2020-03-21,Collier,Florida,0,0,0,160,22,182,0.120879120879121,5.55555555555556,104,11671,2020-03-15
2020-06-05T070051,Columbia-03/15/2020,2020-03-21,Columbia,Florida,0,0,0,17,1,18,0.0555555555555556,10.9939759036145,5,11684,2020-03-15
2020-06-05T070051,Dade-03/15/2020,2020-03-21,Dade,Florida,0,0,0,1173,145,1318,0.110015174506829,0,1483,11697,2020-03-15
2020-06-05T070051,Desoto-03/15/2020,2020-03-21,Desoto,Florida,0,0,0,3,0,3,0,0,7,11710,2020-03-15
2020-06-05T070051,Dixie-03/15/2020,2020-03-21,Dixie,Florida,0,0,0,4,0,4,0,8.06451612903226,1,11723,2020-03-15
2020-06-05T070051,Duval-03/15/2020,2020-03-21,Duval,Florida,1,0,0,340,30,370,0.0810810810810811,4.16666666666667,155,11736,2020-03-15
