timestamp,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80+ years,0-9 years,0-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years
2020-03-16 18:15:00 EDT,8,18,11,21,22,46,25,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17 09:59:00 EDT,9,25,12,27,27,52,29,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18 09:55:00 EDT,13,44,34,45,46,72,42,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18 17:08:00 EDT,13,48,35,47,49,71,45,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19 09:54:00 EDT,14,56,43,58,63,82,50,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19 16:53:00 EDT,15,62,49,65,69,91,56,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20 09:55:00 EDT,17,75,59,74,84,112,69,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20 17:40:00 EDT,18,83,62,83,88,120,74,33,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21 10:08:00 EDT,20,93,76,93,108,138,82,46,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21 17:31:00 EDT,26,107,88,104,128,154,98,56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22 09:51:00 EDT,29,121,93,114,138,163,102,68,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22 18:28:00 EDT,33,144,127,142,170,191,121,77,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23 09:49:00 EDT,38,162,151,172,202,213,146,83,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23 17:09:00 EDT,39,169,161,178,214,221,156,84,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23 22:20:00 EDT,39,169,161,178,214,221,156,84,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24 10:12:00 EDT,47,188,196,204,247,249,178,93,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24 16:57:00 EDT,47,197,204,216,259,258,182,94,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25 10:07:00 EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,152,236,216,285,304,261,166,43
2020-03-25 17:45:00 EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14,175,286,264,335,353,303,193,48
2020-03-26 11:07:00 EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,214,341,330,408,407,353,219,55
2020-03-26 16:59:00 EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,22,227,363,350,434,423,369,230,57
2020-03-26 18:23:00 EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,22,227,363,350,434,423,369,230,57
