timestamp,county,florida_resident,florida_resident_outside,non_florida_resident,total
2020-03-16 18:15:00 EDT,Broward,39,0,8,47
2020-03-16 18:15:00 EDT,Dade,23,1,1,25
2020-03-16 18:15:00 EDT,Palm Beach,8,1,0,9
2020-03-16 18:15:00 EDT,Collier,6,0,1,7
2020-03-16 18:15:00 EDT,Volusia,7,0,0,7
2020-03-16 18:15:00 EDT,Hillsborough,5,0,1,6
2020-03-16 18:15:00 EDT,Lee,4,0,2,6
2020-03-16 18:15:00 EDT,Duval,5,0,0,5
2020-03-16 18:15:00 EDT,Manatee,5,0,0,5
2020-03-16 18:15:00 EDT,Osceola,4,0,1,5
2020-03-16 18:15:00 EDT,Alachua,2,0,2,4
2020-03-16 18:15:00 EDT,Orange,3,1,0,4
2020-03-16 18:15:00 EDT,Pinellas,4,0,0,4
2020-03-16 18:15:00 EDT,Sarasota,3,0,1,4
2020-03-16 18:15:00 EDT,Seminole,4,0,0,4
2020-03-16 18:15:00 EDT,Clay,3,0,0,3
2020-03-16 18:15:00 EDT,St. Johns,2,0,1,3
2020-03-16 18:15:00 EDT,Okaloosa,1,1,0,2
2020-03-16 18:15:00 EDT,Pasco,2,0,0,2
2020-03-16 18:15:00 EDT,Charlotte,1,0,0,1
2020-03-16 18:15:00 EDT,Citrus,1,0,0,1
2020-03-16 18:15:00 EDT,Escambia,1,0,0,1
2020-03-16 18:15:00 EDT,Gadsden,0,1,0,1
2020-03-16 18:15:00 EDT,Lake,1,0,0,1
2020-03-16 18:15:00 EDT,Leon,0,1,0,1
2020-03-16 18:15:00 EDT,Nassau,1,0,0,1
2020-03-16 18:15:00 EDT,Santa Rosa,1,0,0,1
2020-03-17 09:59:00 EDT,Broward,43,0,8,51
2020-03-17 09:59:00 EDT,Dade,32,1,2,35
2020-03-17 09:59:00 EDT,Palm Beach,9,1,0,10
2020-03-17 09:59:00 EDT,Volusia,9,0,0,9
2020-03-17 09:59:00 EDT,Hillsborough,7,0,1,8
2020-03-17 09:59:00 EDT,Collier,6,0,1,7
2020-03-17 09:59:00 EDT,Lee,5,0,2,7
2020-03-17 09:59:00 EDT,Osceola,6,0,1,7
2020-03-17 09:59:00 EDT,Alachua,4,0,2,6
2020-03-17 09:59:00 EDT,Duval,6,0,0,6
2020-03-17 09:59:00 EDT,Manatee,6,0,0,6
