timestamp,county,florida_resident,outside_florida,non_florida_resident,total
2020-03-18 17:08:00 EDT,Broward,89,0,7,96
2020-03-18 17:08:00 EDT,Dade,81,1,4,86
2020-03-18 17:08:00 EDT,Palm Beach,27,1,1,29
2020-03-18 17:08:00 EDT,Hillsborough,17,0,2,19
2020-03-18 17:08:00 EDT,Collier,16,0,2,18
2020-03-18 17:08:00 EDT,Duval,14,0,1,15
2020-03-18 17:08:00 EDT,Orange,13,1,1,15
2020-03-18 17:08:00 EDT,Pinellas,14,0,0,14
2020-03-18 17:08:00 EDT,Lee,9,0,2,11
2020-03-18 17:08:00 EDT,Alachua,7,0,3,10
2020-03-18 17:08:00 EDT,Manatee,9,0,0,9
2020-03-18 17:08:00 EDT,Osceola,7,0,2,9
2020-03-18 17:08:00 EDT,Volusia,9,0,0,9
2020-03-18 17:08:00 EDT,Seminole,8,0,0,8
2020-03-18 17:08:00 EDT,Sarasota,3,0,2,5
