timestamp,county,count
2020-03-21 10:08:00 EDT,Dade,69
2020-03-21 10:08:00 EDT,Broward,53
2020-03-21 10:08:00 EDT,Palm Beach,22
2020-03-21 10:08:00 EDT,Hillsborough,20
2020-03-21 10:08:00 EDT,Orange,17
2020-03-21 10:08:00 EDT,Duval,11
2020-03-21 10:08:00 EDT,Alachua,9
2020-03-21 10:08:00 EDT,Collier,8
2020-03-21 10:08:00 EDT,Manatee,6
2020-03-21 10:08:00 EDT,Polk,5
2020-03-21 10:08:00 EDT,Osceola,5
2020-03-21 10:08:00 EDT,Pinellas,5
2020-03-21 10:08:00 EDT,Sarasota,5
2020-03-21 10:08:00 EDT,Seminole,5
2020-03-21 10:08:00 EDT,Lee,4
2020-03-21 10:08:00 EDT,St. Johns,4
2020-03-21 10:08:00 EDT,Hernando,2
2020-03-21 10:08:00 EDT,Citrus,2
2020-03-21 10:08:00 EDT,St. Lucie,1
2020-03-21 10:08:00 EDT,Indian River,1
2020-03-21 10:08:00 EDT,Okaloosa,1
2020-03-21 10:08:00 EDT,Sumter,1
2020-03-21 10:08:00 EDT,Baker,1
2020-03-21 10:08:00 EDT,Volusia,1
2020-03-21 10:08:00 EDT,Charlotte,1
2020-03-21 10:08:00 EDT,Santa Rosa,1
2020-03-21 10:08:00 EDT,Pasco,1
2020-03-21 10:08:00 EDT,Highlands,1
2020-03-21 10:08:00 EDT,Walton,1
2020-03-21 10:08:00 EDT,Bay,1
2020-03-21 10:08:00 EDT,Lake,1
