timestamp,county,florida_resident,florida_resident_outside,non_florida_resident,total
2020-03-22 09:51:00 EDT,Broward,172,0,8,180
2020-03-22 09:51:00 EDT,Dade,166,1,10,177
2020-03-22 09:51:00 EDT,Palm Beach,51,1,7,59
2020-03-22 09:51:00 EDT,Hillsborough,46,0,4,50
2020-03-22 09:51:00 EDT,Duval,35,0,2,37
2020-03-22 09:51:00 EDT,Pinellas,29,0,1,30
2020-03-22 09:51:00 EDT,Alachua,26,0,3,29
2020-03-22 09:51:00 EDT,Orange,24,1,4,29
2020-03-22 09:51:00 EDT,Collier,25,0,3,28
2020-03-22 09:51:00 EDT,Osceola,19,0,3,22
2020-03-22 09:51:00 EDT,Lee,15,0,3,18
2020-03-22 09:51:00 EDT,Seminole,15,0,1,16
2020-03-22 09:51:00 EDT,Sarasota,10,0,5,15
2020-03-22 09:51:00 EDT,Manatee,13,0,0,13
2020-03-22 09:51:00 EDT,Okaloosa,11,1,0,12
2020-03-22 09:51:00 EDT,St. Johns,11,0,1,12
2020-03-22 09:51:00 EDT,Volusia,12,0,0,12
2020-03-22 09:51:00 EDT,Polk,11,0,0,11
2020-03-22 09:51:00 EDT,Citrus,8,0,0,8
2020-03-22 09:51:00 EDT,Indian River,8,0,0,8
2020-03-22 09:51:00 EDT,Pasco,7,0,1,8
2020-03-22 09:51:00 EDT,Clay,6,0,0,6
2020-03-22 09:51:00 EDT,Lake,6,0,0,6
2020-03-22 09:51:00 EDT,Brevard,5,0,0,5
2020-03-22 09:51:00 EDT,Hernando,5,0,0,5
2020-03-22 09:51:00 EDT,Leon,2,1,1,4
2020-03-22 09:51:00 EDT,Sumter,4,0,0,4
2020-03-22 09:51:00 EDT,Walton,2,0,2,4
2020-03-22 09:51:00 EDT,Marion,3,0,0,3
2020-03-22 09:51:00 EDT,Santa Rosa,3,0,0,3
2020-03-22 09:51:00 EDT,Charlotte,2,0,0,2
2020-03-22 09:51:00 EDT,St. Lucie,2,0,0,2
2020-03-22 09:51:00 EDT,Baker,1,0,0,1
2020-03-22 09:51:00 EDT,Bay,0,0,1,1
2020-03-22 09:51:00 EDT,Columbia,1,0,0,1
2020-03-22 09:51:00 EDT,Escambia,1,0,0,1
2020-03-22 09:51:00 EDT,Gadsden,0,1,0,1
2020-03-22 09:51:00 EDT,Highlands,1,0,0,1
2020-03-22 09:51:00 EDT,Jackson,0,0,1,1
2020-03-22 09:51:00 EDT,Martin,1,0,0,1
