timestamp,county,florida_resident,florida_resident_outside,non_florida_resident,total
2020-03-26 11:07:00 EDT,Dade,600,1,15,616
2020-03-26 11:07:00 EDT,Broward,485,0,19,504
2020-03-26 11:07:00 EDT,Palm Beach,160,1,8,169
2020-03-26 11:07:00 EDT,Hillsborough,136,0,6,142
2020-03-26 11:07:00 EDT,Orange,97,1,12,110
2020-03-26 11:07:00 EDT,Duval,70,0,4,74
2020-03-26 11:07:00 EDT,Collier,55,0,10,65
2020-03-26 11:07:00 EDT,Pinellas,58,0,6,64
2020-03-26 11:07:00 EDT,Lee,51,0,5,56
2020-03-26 11:07:00 EDT,Alachua,46,0,3,49
2020-03-26 11:07:00 EDT,Osceola,39,0,3,42
2020-03-26 11:07:00 EDT,Seminole,36,0,1,37
2020-03-26 11:07:00 EDT,Sarasota,28,0,6,34
2020-03-26 11:07:00 EDT,St. Johns,31,0,2,33
2020-03-26 11:07:00 EDT,Volusia,29,0,0,29
2020-03-26 11:07:00 EDT,Lake,23,0,2,25
2020-03-26 11:07:00 EDT,Manatee,24,0,0,24
2020-03-26 11:07:00 EDT,Sumter,24,0,0,24
2020-03-26 11:07:00 EDT,Okaloosa,18,1,2,21
2020-03-26 11:07:00 EDT,Clay,19,0,0,19
2020-03-26 11:07:00 EDT,Escambia,19,0,0,19
2020-03-26 11:07:00 EDT,Pasco,18,0,1,19
2020-03-26 11:07:00 EDT,Polk,17,0,0,17
2020-03-26 11:07:00 EDT,Brevard,12,0,1,13
2020-03-26 11:07:00 EDT,Indian River,12,0,1,13
2020-03-26 11:07:00 EDT,Walton,7,0,6,13
2020-03-26 11:07:00 EDT,Monroe,10,0,2,12
2020-03-26 11:07:00 EDT,Putnam,12,0,0,12
2020-03-26 11:07:00 EDT,Citrus,11,0,0,11
2020-03-26 11:07:00 EDT,St. Lucie,9,0,1,10
2020-03-26 11:07:00 EDT,Hernando,9,0,0,9
2020-03-26 11:07:00 EDT,Leon,6,1,2,9
2020-03-26 11:07:00 EDT,Santa Rosa,9,0,0,9
2020-03-26 11:07:00 EDT,Martin,8,0,0,8
2020-03-26 11:07:00 EDT,Flagler,7,0,0,7
2020-03-26 11:07:00 EDT,Baker,5,0,0,5
2020-03-26 11:07:00 EDT,Desoto,5,0,0,5
2020-03-26 11:07:00 EDT,Highlands,5,0,0,5
2020-03-26 11:07:00 EDT,Marion,5,0,0,5
2020-03-26 11:07:00 EDT,Nassau,5,0,0,5
2020-03-26 11:07:00 EDT,Bay,2,0,1,3
2020-03-26 11:07:00 EDT,Charlotte,3,0,0,3
2020-03-26 11:07:00 EDT,Columbia,3,0,0,3
2020-03-26 11:07:00 EDT,Bradford,1,0,0,1
2020-03-26 11:07:00 EDT,Gadsden,0,1,0,1
2020-03-26 11:07:00 EDT,Jackson,0,0,1,1
